zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon,Postcode Sectors,Facility name,Tier,index
169,"5,168 ",50.93145071,-1.393979856,urban,0 ,,,SO17 3,,,
170,"8,411 ",50.92210741,-1.376046907,urban,0 ,,,SO18 1,,,
171,"9,999 ",50.93625546,-1.365842443,urban,0 ,,,SO18 2,,,
172,"4,313 ",50.92891631,-1.345566703,urban,0 ,,,SO18 3,,,
173,"4,356 ",50.92074448,-1.367633298,urban,0 ,,,SO18 4,,,
174,"8,049 ",50.9185715,-1.346309937,urban,0 ,,,SO18 5,,,
175,"2,337 ",50.91817535,-1.356508929,urban,0 ,,,SO18 6,,,
176,"3,883 ",50.89999619,-1.341145707,urban,0 ,,,SO19 0,,,
177,"2,650 ",50.90008478,-1.345673545,urban,0 ,,,SO19 1,,,
178,"6,852 ",50.90315017,-1.369043336,urban,0 ,,,SO19 2,,,
179,"1,616 ",50.91421407,-1.369108,urban,0 ,,,SO19 4,,,
180,"1,673 ",50.91257384,-1.3479102,urban,0 ,,,SO19 5,,,
181,"9,243 ",50.90824011,-1.334755321,urban,0 ,,,SO19 6,,,
182,"7,289 ",50.90849924,-1.369963121,urban,0 ,,,SO19 7,,,
183,"8,147 ",50.90443357,-1.35430501,urban,0 ,,,SO19 8,,,
184,"17,143 ",50.89349066,-1.370711068,urban,0 ,,,SO19 9,,,
185,"4,480 ",51.10258337,-1.458019634,urban,0 ,,,SO20 6,,,
186,"3,585 ",51.1292041,-1.553483568,urban,0 ,,,SO20 8,,,
187,"8,143 ",51.03411534,-1.291493024,rural,0 ,,,SO21 1,,,
188,"6,383 ",51.04630429,-1.351008337,rural,0 ,,,SO21 2,,,
189,"6,349 ",51.14425456,-1.312545568,rural,0 ,,,SO21 3,,,
190,"11,825 ",51.05397054,-1.332897556,rural,0 ,,,SO22 4,,,
191,"8,999 ",51.06529427,-1.333538195,rural,0 ,,,SO22 5,,,
192,"10,829 ",51.07770777,-1.329001463,rural,0 ,,,SO22 6,,,
193,"5,702 ",51.06260596,-1.301225222,rural,0 ,,,SO23 0,,,
