group,level_1,distance_miles,p10,p50,p90
A,p10,0.8618901294558349,,,
A,p50,4.443420701049044,,,
A,p90,12.100386820814062,,,
B,p10,0.7555148347225366,,,
B,p50,2.2591879141446904,,,
B,p90,4.926132343101542,,,
All,,,0.790132647729046,2.5985661837861107,9.321697369805655
