Site,HCC utilization,Model utilization,Difference,Open
Andover,54.88%,47.10%,-7.78%,Yes
Basingstoke,81.64%,87.83%,+6.19%,Yes
Eastleigh,75.87%,67.05%,-8.82%,Yes
Gosport,69.99%,56.81%,-13.18%,Yes
Segensworth,86.31%,70.14%,-16.17%,Yes
Waterlooville,85.97%,68.80%,-17.17%,Yes
Winchester,55.68%,51.44%,-4.24%,Yes
Alton,141.01%,112.83%,-28.18%,Yes
Efford,95.25%,76.23%,-19.02%,Yes
Farnborough,153.67%,160.60%,+6.93%,Yes
Havant,83.31%,67.64%,-15.67%,Yes
Netley,121.23%,114.12%,-7.11%,Yes
Aldershot,---,0.00%,---,No
Bordon,---,0.00%,---,No
Casbrook,---,0.00%,---,No
Hedge End,---,0.00%,---,No
Marchwood,---,0.00%,---,No
Petersfield,---,0.00%,---,No
Somerley,---,0.00%,---,No
Alresford,---,0.00%,---,No
Bishops Waltham,---,0.00%,---,No
Fair Oak,---,0.00%,---,No
Hartley Wintney,---,0.00%,---,No
Hayling Island,---,0.00%,---,No
Southampton,86.28%,92.15%,+5.87%,Yes
Portsmouth,69.98%,71.25%,+1.27%,Yes
