group,level_1,distance_miles,p10,p50,p90
A,p10,0.8405101752404391,,,
A,p50,3.5296472383668993,,,
A,p90,9.854077355316402,,,
B,p10,0.7937956944083597,,,
B,p50,2.0601297517491273,,,
B,p90,5.890109235122237,,,
All,,,0.8007055170746142,2.4222593112898023,9.373062068838832
