Site,HCC utilization,Model utilization,Difference,Open
Andover,54.88%,54.79%,-0.09%,Yes
Basingstoke,219.74%,100.00%,-119.74%,Yes
Eastleigh,93.57%,93.53%,-0.04%,Yes
Gosport,70.35%,70.11%,-0.24%,Yes
Segensworth,127.66%,100.00%,-27.66%,Yes
Waterlooville,157.08%,100.00%,-57.08%,Yes
Winchester,60.63%,60.96%,+0.33%,Yes
Alton,---,0.00%,---,No
Efford,---,0.00%,---,No
Farnborough,---,0.00%,---,No
Havant,---,0.00%,---,No
Netley,---,0.00%,---,No
Aldershot,---,0.00%,---,No
Bordon,---,0.00%,---,No
Casbrook,---,0.00%,---,No
Hedge End,---,0.00%,---,No
Marchwood,---,0.00%,---,No
Petersfield,---,0.00%,---,No
Somerley,---,0.00%,---,No
Alresford,---,0.00%,---,No
Bishops Waltham,---,0.00%,---,No
Fair Oak,---,0.00%,---,No
Hartley Wintney,---,0.00%,---,No
Hayling Island,---,0.00%,---,No
Southampton,158.99%,99.99%,-59.00%,Yes
Portsmouth,101.69%,100.00%,-1.69%,Yes
