Site,HCC utilization,Model utilization,Difference,Open
Andover,54.88%,41.22%,-13.66%,Yes
Basingstoke,219.74%,148.03%,-71.71%,Yes
Eastleigh,93.57%,71.63%,-21.94%,Yes
Gosport,70.35%,49.22%,-21.13%,Yes
Segensworth,127.66%,107.77%,-19.89%,Yes
Waterlooville,157.08%,133.86%,-23.22%,Yes
Winchester,60.63%,47.49%,-13.14%,Yes
Alton,---,0.00%,---,No
Efford,---,0.00%,---,No
Farnborough,---,0.00%,---,No
Havant,---,0.00%,---,No
Netley,---,0.00%,---,No
Aldershot,---,0.00%,---,No
Bordon,---,0.00%,---,No
Casbrook,---,0.00%,---,No
Hedge End,---,0.00%,---,No
Marchwood,---,0.00%,---,No
Petersfield,---,0.00%,---,No
Somerley,---,0.00%,---,No
Alresford,---,0.00%,---,No
Bishops Waltham,---,0.00%,---,No
Fair Oak,---,0.00%,---,No
Hartley Wintney,---,0.00%,---,No
Hayling Island,---,0.00%,---,No
Southampton,158.99%,141.86%,-17.13%,Yes
Portsmouth,101.69%,80.39%,-21.30%,Yes
