Site,HCC utilization,Model utilization,Difference,Open
Andover,53.67%,49.29%,-4.38%,Yes
Basingstoke,81.53%,80.22%,-1.31%,Yes
Eastleigh,52.20%,44.51%,-7.69%,Yes
Gosport,69.99%,63.83%,-6.16%,Yes
Segensworth,73.56%,67.57%,-5.99%,Yes
Waterlooville,71.89%,64.92%,-6.97%,Yes
Winchester,53.70%,49.98%,-3.72%,Yes
Alton,66.92%,65.56%,-1.36%,Yes
Efford,79.74%,65.66%,-14.08%,Yes
Farnborough,117.00%,99.96%,-17.04%,Yes
Havant,83.31%,77.40%,-5.91%,Yes
Netley,53.91%,50.17%,-3.74%,Yes
Aldershot,40.86%,41.10%,+0.24%,Yes
Bordon,74.94%,74.18%,-0.76%,Yes
Casbrook,47.11%,42.52%,-4.59%,Yes
Hedge End,135.78%,100.00%,-35.78%,Yes
Marchwood,59.24%,54.72%,-4.52%,Yes
Petersfield,52.72%,49.37%,-3.35%,Yes
Somerley,66.63%,53.34%,-13.29%,Yes
Alresford,---,0.00%,---,No
Bishops Waltham,---,0.00%,---,No
Fair Oak,---,0.00%,---,No
Hartley Wintney,---,0.00%,---,No
Hayling Island,---,0.00%,---,No
Southampton,61.03%,54.75%,-6.28%,Yes
Portsmouth,69.95%,63.54%,-6.41%,Yes
