group,level_1,distance_miles,p10,p50,p90
A,p10,1.5088660867971873,,,
A,p50,10.436376060429737,,,
A,p90,18.135011789851315,,,
B,p10,1.0279642098351571,,,
B,p50,2.861343130079459,,,
B,p90,13.66870610407761,,,
All,,,1.140998334148236,3.748378033925432,17.117807628884396
