group,level_1,distance_miles,p10,p50,p90
A,p10,1.5088660867971873,,,
A,p50,12.43668149783677,,,
A,p90,30.95934031337944,,,
B,p10,1.048407741769478,,,
B,p50,2.833310111576524,,,
B,p90,7.590726063530003,,,
All,,,1.140998334148236,3.7875345902919806,16.326600723298768
