Site,HCC utilization,Model utilization,Difference,Open
Andover,54.88%,38.44%,-16.44%,Yes
Basingstoke,219.74%,153.82%,-65.92%,Yes
Eastleigh,93.57%,65.75%,-27.82%,Yes
Gosport,70.35%,51.72%,-18.63%,Yes
Segensworth,127.66%,89.57%,-38.09%,Yes
Waterlooville,157.08%,110.16%,-46.92%,Yes
Winchester,60.63%,43.24%,-17.39%,Yes
Alton,---,0.00%,---,No
Efford,---,0.00%,---,No
Farnborough,---,0.00%,---,No
Havant,---,0.00%,---,No
Netley,---,0.00%,---,No
Aldershot,---,0.00%,---,No
Bordon,---,0.00%,---,No
Casbrook,---,0.00%,---,No
Hedge End,---,0.00%,---,No
Marchwood,---,0.00%,---,No
Petersfield,---,0.00%,---,No
Somerley,---,0.00%,---,No
Alresford,---,0.00%,---,No
Bishops Waltham,---,0.00%,---,No
Fair Oak,---,0.00%,---,No
Hartley Wintney,---,0.00%,---,No
Hayling Island,---,0.00%,---,No
Southampton,158.99%,131.44%,-27.55%,Yes
Portsmouth,101.69%,91.99%,-9.70%,Yes
