group,level_1,distance_miles,p10,p50,p90
A,p10,0.8405101752404391,,,
A,p50,4.145812544810905,,,
A,p90,10.363029868292216,,,
B,p10,0.7555148347225366,,,
B,p50,2.1352934235828602,,,
B,p90,4.484846981039265,,,
All,,,0.7751937137260914,2.498017774489367,7.860063953186545
