Site,HCC utilization,Model utilization,Difference,Open
Andover,53.67%,48.81%,-4.86%,Yes
Basingstoke,81.53%,80.30%,-1.23%,Yes
Eastleigh,52.20%,44.16%,-8.04%,Yes
Gosport,69.99%,63.64%,-6.35%,Yes
Segensworth,73.56%,66.00%,-7.56%,Yes
Waterlooville,71.89%,64.17%,-7.72%,Yes
Winchester,53.70%,49.98%,-3.72%,Yes
Alton,66.92%,65.00%,-1.92%,Yes
Efford,79.74%,64.64%,-15.10%,Yes
Farnborough,117.00%,115.23%,-1.77%,Yes
Havant,83.31%,75.17%,-8.14%,Yes
Netley,53.91%,49.67%,-4.24%,Yes
Aldershot,40.86%,39.51%,-1.35%,Yes
Bordon,74.94%,72.91%,-2.03%,Yes
Casbrook,47.11%,42.52%,-4.59%,Yes
Hedge End,135.78%,132.52%,-3.26%,Yes
Marchwood,59.24%,54.50%,-4.74%,Yes
Petersfield,52.72%,49.59%,-3.13%,Yes
Somerley,66.63%,51.80%,-14.83%,Yes
Alresford,---,0.00%,---,No
Bishops Waltham,---,0.00%,---,No
Fair Oak,---,0.00%,---,No
Hartley Wintney,---,0.00%,---,No
Hayling Island,---,0.00%,---,No
Southampton,61.03%,54.19%,-6.84%,Yes
Portsmouth,69.95%,62.47%,-7.48%,Yes
