group,level_1,distance_miles,p10,p50,p90
A,p10,1.5088660867971873,,,
A,p50,10.205046418128921,,,
A,p90,15.435616020915656,,,
B,p10,1.0838668773738744,,,
B,p50,2.763293627193467,,,
B,p90,6.704342626942202,,,
All,,,1.1612612617945701,3.555753270645442,13.692888989012728
