Site,HCC utilization,Model utilization,Difference,Open
Andover,53.67%,46.42%,-7.25%,Yes
Basingstoke,81.53%,94.60%,+13.07%,Yes
Eastleigh,52.20%,46.80%,-5.40%,Yes
Gosport,69.99%,56.81%,-13.18%,Yes
Segensworth,73.56%,61.88%,-11.68%,Yes
Waterlooville,71.89%,58.25%,-13.64%,Yes
Winchester,53.70%,52.46%,-1.24%,Yes
Alton,66.92%,54.04%,-12.88%,Yes
Efford,79.74%,63.87%,-15.87%,Yes
Farnborough,117.00%,130.66%,+13.66%,Yes
Havant,83.31%,67.58%,-15.73%,Yes
Netley,53.91%,61.83%,+7.92%,Yes
Aldershot,40.86%,47.33%,+6.47%,Yes
Bordon,74.94%,60.96%,-13.98%,Yes
Casbrook,47.11%,40.42%,-6.69%,Yes
Hedge End,135.78%,130.66%,-5.12%,Yes
Marchwood,59.24%,47.55%,-11.69%,Yes
Petersfield,52.72%,44.12%,-8.60%,Yes
Somerley,66.63%,53.34%,-13.29%,Yes
Alresford,---,0.00%,---,No
Bishops Waltham,---,0.00%,---,No
Fair Oak,---,0.00%,---,No
Hartley Wintney,---,0.00%,---,No
Hayling Island,---,0.00%,---,No
Southampton,61.03%,51.11%,-9.92%,Yes
Portsmouth,69.95%,81.30%,+11.35%,Yes
