Site,HCC utilization,Model utilization,Difference,Open
Andover,66.63%,53.36%,-13.27%,Yes
Basingstoke,40.74%,38.34%,-2.40%,Yes
Eastleigh,89.49%,72.86%,-16.63%,Yes
Gosport,52.11%,46.23%,-5.88%,Yes
Segensworth,64.22%,55.71%,-8.51%,Yes
Waterlooville,74.94%,68.95%,-5.99%,Yes
Winchester,54.23%,44.48%,-9.75%,Yes
Alton,69.97%,66.74%,-3.23%,Yes
Efford,71.02%,57.36%,-13.66%,Yes
Farnborough,69.64%,68.30%,-1.34%,Yes
Havant,69.89%,64.23%,-5.66%,Yes
Netley,70.17%,62.52%,-7.65%,Yes
Aldershot,74.66%,73.92%,-0.74%,Yes
Bordon,73.47%,70.04%,-3.43%,Yes
Casbrook,61.00%,51.26%,-9.74%,Yes
Hedge End,45.99%,40.94%,-5.05%,Yes
Marchwood,39.94%,32.64%,-7.30%,Yes
Petersfield,71.75%,65.50%,-6.25%,Yes
Somerley,53.81%,42.55%,-11.26%,Yes
Alresford,47.53%,46.68%,-0.85%,Yes
Bishops Waltham,59.24%,54.42%,-4.82%,Yes
Fair Oak,79.73%,69.71%,-10.02%,Yes
Hartley Wintney,32.77%,32.70%,-0.07%,Yes
Hayling Island,47.11%,49.74%,+2.63%,Yes
Southampton,48.36%,37.66%,-10.70%,Yes
Portsmouth,53.65%,47.72%,-5.93%,Yes
